"EmployeeID","FirstName","LastName","Title","ProductName","CategoryName","OrderDate","UnitPrice","Quantity","Discount","sales_no_discount","sales"
8,Laura,Callahan,Inside Sales Coordinator,Chef Anton's Gumbo Mix,Condiments,1996-07-22 00:00:00.000,"17.0000",12,0.2,"204.0000",163.2
8,Laura,Callahan,Inside Sales Coordinator,Uncle Bob's Organic Dried Pears,Produce,1996-07-22 00:00:00.000,"24.0000",15,0.0,"360.0000",360.0
8,Laura,Callahan,Inside Sales Coordinator,Gnocchi di nonna Alice,Grains/Cereals,1996-07-22 00:00:00.000,"30.4000",2,0.0,"60.8000",60.8
9,Anne,Dodsworth,Sales Representative,Pavlova,Confections,1996-07-23 00:00:00.000,"13.9000",60,0.25,"834.0000",625.5
9,Anne,Dodsworth,Sales Representative,Guaraná Fantástica,Beverages,1996-07-23 00:00:00.000,"3.6000",28,0.0,"100.8000",100.8
9,Anne,Dodsworth,Sales Representative,Nord-Ost Matjeshering,Seafood,1996-07-23 00:00:00.000,"20.7000",60,0.25,"1242.0000",931.5
9,Anne,Dodsworth,Sales Representative,Longlife Tofu,Produce,1996-07-23 00:00:00.000,"8.0000",36,0.25,"288.0000",216.0
6,Michael,Suyama,Sales Representative,Chang,Beverages,1996-07-24 00:00:00.000,"15.2000",35,0.0,"532.0000",532.0
6,Michael,Suyama,Sales Representative,Jack's New England Clam Chowder,Seafood,1996-07-24 00:00:00.000,"7.7000",25,0.15,"192.5000",163.625
2,Andrew,Fuller,"Vice President, Sales",Alice Mutton,Meat/Poultry,1996-07-25 00:00:00.000,"31.2000",30,0.0,"936.0000",936.0
2,Andrew,Fuller,"Vice President, Sales",Outback Lager,Beverages,1996-07-25 00:00:00.000,"12.0000",20,0.0,"240.0000",240.0
3,Janet,Leverling,Sales Representative,Queso Manchego La Pastora,Dairy Products,1996-07-26 00:00:00.000,"30.4000",12,0.05,"364.8000",346.56
4,Margaret,Peacock,Sales Representative,Boston Crab Meat,Seafood,1996-07-29 00:00:00.000,"14.7000",50,0.0,"735.0000",735.0
4,Margaret,Peacock,Sales Representative,Raclette Courdavault,Dairy Products,1996-07-29 00:00:00.000,"44.0000",70,0.15,"3080.0000",2618.0
4,Margaret,Peacock,Sales Representative,Lakkalikööri,Beverages,1996-07-29 00:00:00.000,"14.4000",15,0.15,"216.0000",183.6
8,Laura,Callahan,Inside Sales Coordinator,Thüringer Rostbratwurst,Meat/Poultry,1996-07-30 00:00:00.000,"99.0000",10,0.0,"990.0000",990.0
8,Laura,Callahan,Inside Sales Coordinator,Mozzarella di Giovanni,Dairy Products,1996-07-30 00:00:00.000,"27.8000",4,0.0,"111.2000",111.2
5,Steven,Buchanan,Sales Manager,Geitost,Dairy Products,1996-07-31 00:00:00.000,"2.0000",60,0.05,"120.0000",114.0
5,Steven,Buchanan,Sales Manager,Mozzarella di Giovanni,Dairy Products,1996-07-31 00:00:00.000,"27.8000",20,0.05,"556.0000",528.2
1,Nancy,Davolio,Sales Representative,Inlagd Sill,Seafood,1996-08-01 00:00:00.000,"15.2000",30,0.0,"456.0000",456.0
1,Nancy,Davolio,Sales Representative,Ipoh Coffee,Beverages,1996-08-01 00:00:00.000,"36.8000",25,0.0,"920.0000",920.0
6,Michael,Suyama,Sales Representative,Geitost,Dairy Products,1996-08-01 00:00:00.000,"2.0000",24,0.0,"48.0000",48.0
6,Michael,Suyama,Sales Representative,Sir Rodney's Marmalade,Confections,1996-08-02 00:00:00.000,"64.8000",6,0.0,"388.8000",388.8
6,Michael,Suyama,Sales Representative,Gorgonzola Telino,Dairy Products,1996-08-02 00:00:00.000,"10.0000",40,0.0,"400.0000",400.0
6,Michael,Suyama,Sales Representative,Mozzarella di Giovanni,Dairy Products,1996-08-02 00:00:00.000,"27.8000",24,0.0,"667.2000",667.2
3,Janet,Leverling,Sales Representative,Ikura,Seafood,1996-08-05 00:00:00.000,"24.8000",24,0.05,"595.2000",565.44
3,Janet,Leverling,Sales Representative,Gorgonzola Telino,Dairy Products,1996-08-05 00:00:00.000,"10.0000",15,0.05,"150.0000",142.5
3,Janet,Leverling,Sales Representative,Geitost,Dairy Products,1996-08-05 00:00:00.000,"2.0000",20,0.0,"40.0000",40.0
3,Janet,Leverling,Sales Representative,Boston Crab Meat,Seafood,1996-08-05 00:00:00.000,"14.7000",60,0.05,"882.0000",837.89996
3,Janet,Leverling,Sales Representative,Lakkalikööri,Beverages,1996-08-05 00:00:00.000,"14.4000",33,0.05,"475.2000",451.44
6,Michael,Suyama,Sales Representative,Flotemysost,Dairy Products,1996-08-06 00:00:00.000,"17.2000",20,0.0,"344.0000",344.0
6,Michael,Suyama,Sales Representative,Mozzarella di Giovanni,Dairy Products,1996-08-06 00:00:00.000,"27.8000",7,0.0,"194.6000",194.6
1,Nancy,Davolio,Sales Representative,Guaraná Fantástica,Beverages,1996-08-07 00:00:00.000,"3.6000",12,0.05,"43.2000",41.04
1,Nancy,Davolio,Sales Representative,Raclette Courdavault,Dairy Products,1996-08-07 00:00:00.000,"44.0000",6,0.05,"264.0000",250.8
8,Laura,Callahan,Inside Sales Coordinator,Ikura,Seafood,1996-08-08 00:00:00.000,"24.8000",15,0.0,"372.0000",372.0
8,Laura,Callahan,Inside Sales Coordinator,Konbu,Seafood,1996-08-08 00:00:00.000,"4.8000",10,0.0,"48.0000",48.0
2,Andrew,Fuller,"Vice President, Sales",Rössle Sauerkraut,Produce,1996-08-09 00:00:00.000,"36.4000",20,0.0,"728.0000",728.0
2,Andrew,Fuller,"Vice President, Sales",Tarte au sucre,Confections,1996-08-09 00:00:00.000,"39.4000",12,0.0,"472.8000",472.8
8,Laura,Callahan,Inside Sales Coordinator,Gula Malacca,Condiments,1996-08-12 00:00:00.000,"15.5000",16,0.0,"248.0000",248.0
8,Laura,Callahan,Inside Sales Coordinator,Raclette Courdavault,Dairy Products,1996-08-12 00:00:00.000,"44.0000",15,0.0,"660.0000",660.0
8,Laura,Callahan,Inside Sales Coordinator,Vegie-spread,Condiments,1996-08-12 00:00:00.000,"35.1000",8,0.0,"280.8000",280.8
8,Laura,Callahan,Inside Sales Coordinator,Röd Kaviar,Seafood,1996-08-12 00:00:00.000,"12.0000",25,0.0,"300.0000",300.0
8,Laura,Callahan,Inside Sales Coordinator,Alice Mutton,Meat/Poultry,1996-08-13 00:00:00.000,"31.2000",15,0.25,"468.0000",351.0
2,Andrew,Fuller,"Vice President, Sales",Guaraná Fantástica,Beverages,1996-08-14 00:00:00.000,"3.6000",12,0.0,"43.2000",43.2
2,Andrew,Fuller,"Vice President, Sales",Pâté chinois,Meat/Poultry,1996-08-14 00:00:00.000,"19.2000",20,0.0,"384.0000",384.0
2,Andrew,Fuller,"Vice President, Sales",Rhönbräu Klosterbier,Beverages,1996-08-14 00:00:00.000,"6.2000",30,0.0,"186.0000",186.0
4,Margaret,Peacock,Sales Representative,Teatime Chocolate Biscuits,Confections,1996-08-14 00:00:00.000,"7.3000",1,0.0,"7.3000",7.3
4,Margaret,Peacock,Sales Representative,Guaraná Fantástica,Beverages,1996-08-14 00:00:00.000,"3.6000",6,0.0,"21.6000",21.6
4,Margaret,Peacock,Sales Representative,Steeleye Stout,Beverages,1996-08-14 00:00:00.000,"14.4000",4,0.0,"57.6000",57.6
4,Margaret,Peacock,Sales Representative,Nord-Ost Matjeshering,Seafood,1996-08-15 00:00:00.000,"20.7000",6,0.0,"124.2000",124.2
4,Margaret,Peacock,Sales Representative,Ravioli Angelo,Grains/Cereals,1996-08-15 00:00:00.000,"15.6000",2,0.0,"31.2000",31.2
3,Janet,Leverling,Sales Representative,Genen Shouyu,Condiments,1996-08-16 00:00:00.000,"12.4000",20,0.0,"248.0000",248.0
3,Janet,Leverling,Sales Representative,Teatime Chocolate Biscuits,Confections,1996-08-16 00:00:00.000,"7.3000",18,0.0,"131.4000",131.4
3,Janet,Leverling,Sales Representative,Camembert Pierrot,Dairy Products,1996-08-16 00:00:00.000,"27.2000",35,0.0,"952.0000",952.0
3,Janet,Leverling,Sales Representative,Mozzarella di Giovanni,Dairy Products,1996-08-16 00:00:00.000,"27.8000",3,0.0,"83.4000",83.4
4,Margaret,Peacock,Sales Representative,Schoggi Schokolade,Confections,1996-08-19 00:00:00.000,"35.1000",15,0.25,"526.5000",394.875
4,Margaret,Peacock,Sales Representative,Gula Malacca,Condiments,1996-08-19 00:00:00.000,"15.5000",21,0.0,"325.5000",325.5
4,Margaret,Peacock,Sales Representative,Camembert Pierrot,Dairy Products,1996-08-19 00:00:00.000,"27.2000",20,0.25,"544.0000",408.0
4,Margaret,Peacock,Sales Representative,Laughing Lumberjack Lager,Beverages,1996-08-19 00:00:00.000,"11.2000",5,0.25,"56.0000",42.0
1,Nancy,Davolio,Sales Representative,Chai,Beverages,1996-08-20 00:00:00.000,"14.4000",45,0.2,"648.0000",518.4
1,Nancy,Davolio,Sales Representative,Boston Crab Meat,Seafood,1996-08-20 00:00:00.000,"14.7000",40,0.2,"588.0000",470.4
1,Nancy,Davolio,Sales Representative,Perth Pasties,Meat/Poultry,1996-08-20 00:00:00.000,"26.2000",36,0.2,"943.2000",754.56
8,Laura,Callahan,Inside Sales Coordinator,Steeleye Stout,Beverages,1996-08-21 00:00:00.000,"14.4000",100,0.0,"1440.0000",1440.0
8,Laura,Callahan,Inside Sales Coordinator,Tarte au sucre,Confections,1996-08-21 00:00:00.000,"39.4000",40,0.0,"1576.0000",1576.0
8,Laura,Callahan,Inside Sales Coordinator,Pavlova,Confections,1996-08-22 00:00:00.000,"13.9000",40,0.15,"556.0000",472.6
8,Laura,Callahan,Inside Sales Coordinator,Sasquatch Ale,Beverages,1996-08-22 00:00:00.000,"11.2000",20,0.0,"224.0000",224.0
8,Laura,Callahan,Inside Sales Coordinator,Spegesild,Seafood,1996-08-22 00:00:00.000,"9.6000",15,0.15,"144.0000",122.4
4,Margaret,Peacock,Sales Representative,Tourtière,Meat/Poultry,1996-08-23 00:00:00.000,"5.9000",10,0.1,"59.0000",53.1
4,Margaret,Peacock,Sales Representative,Scottish Longbreads,Confections,1996-08-23 00:00:00.000,"10.0000",3,0.1,"30.0000",27.0
7,Robert,King,Sales Representative,Aniseed Syrup,Condiments,1996-08-26 00:00:00.000,"8.0000",30,0.0,"240.0000",240.0
7,Robert,King,Sales Representative,Wimmers gute Semmelknödel,Grains/Cereals,1996-08-26 00:00:00.000,"26.6000",9,0.0,"239.4000",239.4
8,Laura,Callahan,Inside Sales Coordinator,Chef Anton's Gumbo Mix,Condiments,1996-08-27 00:00:00.000,"17.0000",20,0.0,"340.0000",340.0
8,Laura,Callahan,Inside Sales Coordinator,Thüringer Rostbratwurst,Meat/Poultry,1996-08-27 00:00:00.000,"99.0000",15,0.0,"1485.0000",1485.0
8,Laura,Callahan,Inside Sales Coordinator,Maxilaku,Confections,1996-08-27 00:00:00.000,"16.0000",15,0.0,"240.0000",240.0
8,Laura,Callahan,Inside Sales Coordinator,Original Frankfurter grüne Soße,Condiments,1996-08-27 00:00:00.000,"10.4000",10,0.0,"104.0000",104.0
6,Michael,Suyama,Sales Representative,Konbu,Seafood,1996-08-27 00:00:00.000,"4.8000",20,0.1,"96.0000",86.399994
6,Michael,Suyama,Sales Representative,Gula Malacca,Condiments,1996-08-27 00:00:00.000,"15.5000",24,0.1,"372.0000",334.8
6,Michael,Suyama,Sales Representative,Manjimup Dried Apples,Produce,1996-08-27 00:00:00.000,"42.4000",2,0.1,"84.8000",76.32
1,Nancy,Davolio,Sales Representative,Sir Rodney's Marmalade,Confections,1996-08-28 00:00:00.000,"64.8000",20,0.0,"1296.0000",1296.0
1,Nancy,Davolio,Sales Representative,Carnarvon Tigers,Seafood,1996-08-29 00:00:00.000,"50.0000",12,0.0,"600.0000",600.0
1,Nancy,Davolio,Sales Representative,Guaraná Fantástica,Beverages,1996-08-29 00:00:00.000,"3.6000",10,0.0,"36.0000",36.0
1,Nancy,Davolio,Sales Representative,Vegie-spread,Condiments,1996-08-29 00:00:00.000,"35.1000",5,0.0,"175.5000",175.5
1,Nancy,Davolio,Sales Representative,Rhönbräu Klosterbier,Beverages,1996-08-29 00:00:00.000,"6.2000",6,0.0,"37.2000",37.2
4,Margaret,Peacock,Sales Representative,Chai,Beverages,1996-08-30 00:00:00.000,"14.4000",18,0.0,"259.2000",259.2
4,Margaret,Peacock,Sales Representative,Alice Mutton,Meat/Poultry,1996-08-30 00:00:00.000,"31.2000",15,0.0,"468.0000",468.0
4,Margaret,Peacock,Sales Representative,Ipoh Coffee,Beverages,1996-08-30 00:00:00.000,"36.8000",15,0.0,"552.0000",552.0
4,Margaret,Peacock,Sales Representative,Camembert Pierrot,Dairy Products,1996-08-30 00:00:00.000,"27.2000",21,0.0,"571.2000",571.2
4,Margaret,Peacock,Sales Representative,Rhönbräu Klosterbier,Beverages,1996-08-30 00:00:00.000,"6.2000",6,0.0,"37.2000",37.2
2,Andrew,Fuller,"Vice President, Sales",Gnocchi di nonna Alice,Grains/Cereals,1996-09-02 00:00:00.000,"30.4000",4,0.0,"121.6000",121.6
6,Michael,Suyama,Sales Representative,Queso Cabrales,Dairy Products,1996-09-03 00:00:00.000,"16.8000",12,0.0,"201.6000",201.6
6,Michael,Suyama,Sales Representative,Pavlova,Confections,1996-09-03 00:00:00.000,"13.9000",30,0.0,"417.0000",417.0
6,Michael,Suyama,Sales Representative,Gudbrandsdalsost,Dairy Products,1996-09-03 00:00:00.000,"28.8000",15,0.0,"432.0000",432.0
5,Steven,Buchanan,Sales Manager,Chartreuse verte,Beverages,1996-09-04 00:00:00.000,"14.4000",60,0.0,"864.0000",864.0
5,Steven,Buchanan,Sales Manager,Mozzarella di Giovanni,Dairy Products,1996-09-04 00:00:00.000,"27.8000",20,0.0,"556.0000",556.0
6,Michael,Suyama,Sales Representative,Chang,Beverages,1996-09-05 00:00:00.000,"15.2000",40,0.0,"608.0000",608.0
6,Michael,Suyama,Sales Representative,Inlagd Sill,Seafood,1996-09-05 00:00:00.000,"15.2000",40,0.25,"608.0000",456.0
6,Michael,Suyama,Sales Representative,Raclette Courdavault,Dairy Products,1996-09-05 00:00:00.000,"44.0000",30,0.25,"1320.0000",990.0
6,Michael,Suyama,Sales Representative,Tarte au sucre,Confections,1996-09-05 00:00:00.000,"39.4000",15,0.0,"591.0000",591.0
4,Margaret,Peacock,Sales Representative,Teatime Chocolate Biscuits,Confections,1996-09-06 00:00:00.000,"7.3000",15,0.0,"109.5000",109.5
4,Margaret,Peacock,Sales Representative,Outback Lager,Beverages,1996-09-06 00:00:00.000,"12.0000",20,0.0,"240.0000",240.0
2,Andrew,Fuller,"Vice President, Sales",Louisiana Hot Spiced Okra,Condiments,1996-09-09 00:00:00.000,"13.6000",30,0.0,"408.0000",408.0
2,Andrew,Fuller,"Vice President, Sales",Scottish Longbreads,Confections,1996-09-09 00:00:00.000,"10.0000",20,0.0,"200.0000",200.0
8,Laura,Callahan,Inside Sales Coordinator,Boston Crab Meat,Seafood,1996-09-09 00:00:00.000,"14.7000",10,0.0,"147.0000",147.0
8,Laura,Callahan,Inside Sales Coordinator,Gnocchi di nonna Alice,Grains/Cereals,1996-09-09 00:00:00.000,"30.4000",20,0.0,"608.0000",608.0
4,Margaret,Peacock,Sales Representative,Alice Mutton,Meat/Poultry,1996-09-10 00:00:00.000,"31.2000",40,0.0,"1248.0000",1248.0
4,Margaret,Peacock,Sales Representative,Rössle Sauerkraut,Produce,1996-09-10 00:00:00.000,"36.4000",28,0.0,"1019.2000",1019.2
4,Margaret,Peacock,Sales Representative,Ipoh Coffee,Beverages,1996-09-10 00:00:00.000,"36.8000",12,0.0,"441.6000",441.6
7,Robert,King,Sales Representative,Boston Crab Meat,Seafood,1996-09-11 00:00:00.000,"14.7000",40,0.1,"588.0000",529.2
7,Robert,King,Sales Representative,Louisiana Fiery Hot Pepper Sauce,Condiments,1996-09-11 00:00:00.000,"16.8000",30,0.1,"504.0000",453.59998
7,Robert,King,Sales Representative,Scottish Longbreads,Confections,1996-09-11 00:00:00.000,"10.0000",15,0.1,"150.0000",135.0
1,Nancy,Davolio,Sales Representative,Maxilaku,Confections,1996-09-12 00:00:00.000,"16.0000",30,0.0,"480.0000",480.0
1,Nancy,Davolio,Sales Representative,Raclette Courdavault,Dairy Products,1996-09-12 00:00:00.000,"44.0000",10,0.0,"440.0000",440.0
1,Nancy,Davolio,Sales Representative,Flotemysost,Dairy Products,1996-09-12 00:00:00.000,"17.2000",2,0.0,"34.4000",34.4
8,Laura,Callahan,Inside Sales Coordinator,Carnarvon Tigers,Seafood,1996-09-13 00:00:00.000,"50.0000",25,0.1,"1250.0000",1125.0
8,Laura,Callahan,Inside Sales Coordinator,Thüringer Rostbratwurst,Meat/Poultry,1996-09-13 00:00:00.000,"99.0000",25,0.1,"2475.0000",2227.5
8,Laura,Callahan,Inside Sales Coordinator,Chartreuse verte,Beverages,1996-09-13 00:00:00.000,"14.4000",30,0.1,"432.0000",388.8
1,Nancy,Davolio,Sales Representative,Nord-Ost Matjeshering,Seafood,1996-09-16 00:00:00.000,"20.7000",10,0.0,"207.0000",207.0
1,Nancy,Davolio,Sales Representative,Perth Pasties,Meat/Poultry,1996-09-16 00:00:00.000,"26.2000",10,0.0,"262.0000",262.0
1,Nancy,Davolio,Sales Representative,Tourtière,Meat/Poultry,1996-09-16 00:00:00.000,"5.9000",5,0.0,"29.5000",29.5
2,Andrew,Fuller,"Vice President, Sales",Tarte au sucre,Confections,1996-09-17 00:00:00.000,"39.4000",10,0.0,"394.0000",394.0
2,Andrew,Fuller,"Vice President, Sales",Scottish Longbreads,Confections,1996-09-17 00:00:00.000,"10.0000",3,0.0,"30.0000",30.0
7,Robert,King,Sales Representative,Gudbrandsdalsost,Dairy Products,1996-09-18 00:00:00.000,"28.8000",1,0.0,"28.8000",28.8
7,Robert,King,Sales Representative,Outback Lager,Beverages,1996-09-18 00:00:00.000,"12.0000",5,0.0,"60.0000",60.0
3,Janet,Leverling,Sales Representative,Chef Anton's Cajun Seasoning,Condiments,1996-09-19 00:00:00.000,"17.6000",20,0.0,"352.0000",352.0
3,Janet,Leverling,Sales Representative,Grandma's Boysenberry Spread,Condiments,1996-09-19 00:00:00.000,"20.0000",30,0.0,"600.0000",600.0
3,Janet,Leverling,Sales Representative,Singaporean Hokkien Fried Mee,Grains/Cereals,1996-09-19 00:00:00.000,"11.2000",2,0.0,"22.4000",22.4
3,Janet,Leverling,Sales Representative,Ipoh Coffee,Beverages,1996-09-19 00:00:00.000,"36.8000",20,0.0,"736.0000",736.0
3,Janet,Leverling,Sales Representative,Flotemysost,Dairy Products,1996-09-19 00:00:00.000,"17.2000",3,0.0,"51.6000",51.6
8,Laura,Callahan,Inside Sales Coordinator,Pavlova,Confections,1996-09-20 00:00:00.000,"13.9000",10,0.0,"139.0000",139.0
8,Laura,Callahan,Inside Sales Coordinator,Tarte au sucre,Confections,1996-09-20 00:00:00.000,"39.4000",5,0.0,"197.0000",197.0
1,Nancy,Davolio,Sales Representative,Singaporean Hokkien Fried Mee,Grains/Cereals,1996-09-20 00:00:00.000,"11.2000",6,0.0,"67.2000",67.2
1,Nancy,Davolio,Sales Representative,Gudbrandsdalsost,Dairy Products,1996-09-20 00:00:00.000,"28.8000",7,0.0,"201.6000",201.6
2,Andrew,Fuller,"Vice President, Sales",Rössle Sauerkraut,Produce,1996-09-23 00:00:00.000,"36.4000",4,0.0,"145.6000",145.6
2,Andrew,Fuller,"Vice President, Sales",Ipoh Coffee,Beverages,1996-09-23 00:00:00.000,"36.8000",24,0.0,"883.2000",883.2
2,Andrew,Fuller,"Vice President, Sales",Perth Pasties,Meat/Poultry,1996-09-23 00:00:00.000,"26.2000",20,0.0,"524.0000",524.0
2,Andrew,Fuller,"Vice President, Sales",Rhönbräu Klosterbier,Beverages,1996-09-23 00:00:00.000,"6.2000",10,0.0,"62.0000",62.0
2,Andrew,Fuller,"Vice President, Sales",Inlagd Sill,Seafood,1996-09-24 00:00:00.000,"15.2000",12,0.0,"182.4000",182.4
1,Nancy,Davolio,Sales Representative,Mascarpone Fabioli,Dairy Products,1996-09-25 00:00:00.000,"25.6000",40,0.1,"1024.0000",921.6
1,Nancy,Davolio,Sales Representative,Escargots de Bourgogne,Seafood,1996-09-25 00:00:00.000,"10.6000",30,0.1,"318.0000",286.19998
1,Nancy,Davolio,Sales Representative,Tarte au sucre,Confections,1996-09-25 00:00:00.000,"39.4000",25,0.1,"985.0000",886.5
4,Margaret,Peacock,Sales Representative,Sasquatch Ale,Beverages,1996-09-26 00:00:00.000,"11.2000",14,0.0,"156.8000",156.8
4,Margaret,Peacock,Sales Representative,Outback Lager,Beverages,1996-09-26 00:00:00.000,"12.0000",30,0.0,"360.0000",360.0
1,Nancy,Davolio,Sales Representative,Jack's New England Clam Chowder,Seafood,1996-09-27 00:00:00.000,"7.7000",10,0.0,"77.0000",77.0
1,Nancy,Davolio,Sales Representative,Tarte au sucre,Confections,1996-09-27 00:00:00.000,"39.4000",70,0.0,"2758.0000",2758.0
6,Michael,Suyama,Sales Representative,Chai,Beverages,1996-09-30 00:00:00.000,"14.4000",20,0.0,"288.0000",288.0
8,Laura,Callahan,Inside Sales Coordinator,Jack's New England Clam Chowder,Seafood,1996-10-01 00:00:00.000,"7.7000",20,0.0,"154.0000",154.0
8,Laura,Callahan,Inside Sales Coordinator,Lakkalikööri,Beverages,1996-10-01 00:00:00.000,"14.4000",6,0.0,"86.4000",86.4
7,Robert,King,Sales Representative,Alice Mutton,Meat/Poultry,1996-10-02 00:00:00.000,"31.2000",8,0.0,"249.6000",249.6
7,Robert,King,Sales Representative,Rössle Sauerkraut,Produce,1996-10-02 00:00:00.000,"36.4000",14,0.0,"509.6000",509.6
7,Robert,King,Sales Representative,Lakkalikööri,Beverages,1996-10-02 00:00:00.000,"14.4000",30,0.0,"432.0000",432.0
